prompt,completion
万象府的大堂的设计理念及亮点,"东塔一层大堂：
整体以“回归自我“为理念，设计师认为：入户大堂是回归自我的仪式空间，公寓入口处打造约15米的超长造型雨棚，从建筑外围延伸至电梯厅，雨棚天花设计采用特殊镜面搭配几何造型, 通过高差错落（约4.5米-8米）营造空间的层次感、归家的仪式感，整体上不会因为层高太高而感到疏离，又兼顾了高端公寓应有的气派。
并通过光影变换，形成一步一景之效，大堂前台的背景墙充分融合了项目人文综合体的气质，通过不同角度的镜面与金属条状拼接，错落有致。休息区以竹纹质感的石材作为设计主体,光影交互，既提升了空间格调，更在城市生活、商务社交中营造出自然共生的感受。
东塔B1M层大堂：
从设计上打破了传统地下室的幽闭感，整体运用“透光栅栏”营造出透光效果，打造成“具有室外环境的室内庭院“，并且隔离了停车空间，形成过滤性的环境。并运用新石材——充满艺术感的绿色天然石材，表面进行处理，形成自然的拼接和切割感受，材质富有变幻，自然灵动的瞬间，带给客户一种自然延伸的感觉。
西塔一层大堂：
整体以“自然生长”为理念，以水的灵动性、大自然和光影为主要元素，创造出一种平和雅致的大堂空间，通过自然、艺术与生活的融合，以及对材质的运用，让业主在繁华城市中远离喧嚣，虽然走在时尚潮流的前沿，但又能时刻感受到自然的亲近。
大堂层高约8米，顶端搭配金色镜面，突显高度的同时能体现出华贵感， 您看到右手边是“水的溶洞”艺术品，体现凝结自然灵动的瞬间，带给业主一种自然延伸的感觉。 
西塔B1M层大堂：
地下大堂与一层大堂一脉相承，设计师希望在深圳快节奏的都会生活中创造一种“平和雅致”的空间，地下大堂未来将会设置快递箱、信报箱及高尔夫球箱等功能，满足业主生活的便利性。"
万象府与科发路之间有无软隔断或硬隔断,非直接临街，大堂门口设置场地内部道路。
万象府的外立面或外窗使用何种材质，有何特色,铝型材及LOW-E玻璃。全幕墙体系，通透且节能。
万象府的电梯厅采用哪些材料材质？（交标）有何特色？," 西塔公区电梯厅：墙纸、不锈钢、镜面材料；东塔电梯厅：石材、不锈钢。
特色：（待定）
"
万象府的入户门采用什么材质？品牌？门锁？有何特色？,品牌待定
万象府东、西塔的室内精装修交标标准,待定
停车系统有何亮点,待定
有无净化水管道？污水是否循环利用？污水排放去哪？,无净化水管道；无污水循环利用；污水按规范排入室外化粪池处理后接入市政管网。
排污、排水管道是否采用同一管道,污水（马桶）与洗浴废水（洗手盆、地漏、澡盆）采用独立立管。
排污管道是否集中设置,设置有管井
水系水源来自哪里？供应直饮水吗？,接自附近市政水管网；按交付标准未提供净水器。
是否设水箱？体积多少？若采用水箱供水，如何解决二次污染问题？,地下室设置50m³不锈钢水箱，西塔屋面设置8m³不锈钢水箱，水箱出水处均设置紫外线消毒设备防止二次污染，另水流停滞时间较长的住户水表后管道采用铜管，也具有一定的抑菌作用。
万象府有哪些消防设备？,设有自动喷淋灭火系统、烟雾感应、消火栓系统、手提灭火器、重要电气设备房还设置气体自动灭火系统，以及火灾自动报警系统设备、应急广播等。
超高层着火怎么办？如何灭火？,自动喷淋灭火系统是公认最有效的灭火系统，本项目按规范在户内及公区走廊设置该系统，可最大限度在初期将火灾扑灭。设置火灾自动报警及消防联动系统。火灾探测器、手动报警按钮触发报警后，联动消防排烟设备，疏散广播等。指引疏散人员至就近避难区。
安保系统（待定）,"外围：闭路监控系统；
园区：门禁系统、电子巡更系统、可视对讲系统；
其他：户内紧急求助系统、无线对讲系统、停车场管理系统。"
室内提供几个电话接口、网线接口、有线电视接口？位置在哪？,"1、采用光纤入户供电话和网络，同轴电缆进线入户供有线电视，户内设有家居弱电接线箱。
2、设置原则：网络接口根据电视机、书桌位置设置，电话设置于客厅电视、书桌、卧室床头柜附近。"
室内提供多少个供电回路？哪些单独设有回路？有何利处？（待定）,照明、插座和空调等均分类设置回路，热水器、电磁炉、烤箱等功率较大设备单独设置专用回路，检修方便且安全，提供回路数如下（东塔待定，目前仅提供西塔情况）：单房16个，2房20个，3房21个，大平层毛坯。另外每户提供两个备用回路。
户内配置,"(1) 供电电源安装到户，设置户内配电箱。
(2) 户内仅预埋线路保护管及穿线铁丝，不予穿线（末端点位设底盒和白色盖板）。户内用电点位可参照产品标准表。
(3) 住户户内电话、网络、电视设计安装到位。住户每户入户采用1条光纤提供电话和网络，1条同轴电缆供电视，1条网线供可视对讲，电话、网络及电视的每个末端点位均从弱电箱单独引出线路接驳。"
每户最大用电容量多少？每户是否相同？（待定）,"按面积和房型设计，容量有所不同，具体如下（东塔待定，目前仅提供西塔）：单房电容量30KW,2房和3房电容量40KW，大平层电容量50KW。"
有无远程抄表系统？,有设置远程水表抄表系统
电梯品牌？载重？速度？尺度？门高？有何特色？有无停电应急装置？,"有停电应急装置，其他数据如下：
东塔：客梯品牌通力，载重1000KG，客梯2台3.5米每秒，消防梯1台3米每秒。
西塔：客梯品牌通力，载重1000KG，客梯3台4米每秒，消防梯1台3.5米每秒。"
电梯厅是否采光？,无
是否设有设备层（避难层）？共几层？是否有特殊处理？,有的，3层，其中东塔6、17层，西塔6、23层，无特殊处理。
户型的分户墙有多厚？隔墙有多厚？楼板有多厚？,分户200mm，隔墙100~150mm。楼板100~180mm。
户型中有无可见的异形柱或异性梁？,无
楼宇防水措施？外墙、厨卫的防水怎样处理？顶层隔热如何处理？,外墙为玻璃幕墙体系，厨卫均设置防水。楼栋顶层屋面设置保温。
塔楼公共部位标准,"入户大堂：单个大堂面积西塔约220㎡，东塔约270㎡；大堂净高西塔约8米，东塔约7米；天棚材料镜面不锈钢、乳胶漆、石材；墙面材料石材；地面材料石材。
电梯厅：天棚材料镜面不锈钢、乳胶漆；墙面材料石材；地面材料石材。
楼梯间：天棚材料乳胶漆；墙面材料墙纸、木饰面、镜子；地面材料石材。"
地下大堂标准,地库入库大堂天棚材料不锈钢，墙面材料石材，地面材料石材。
居民文体活动中心及物业用房标准（待定）,物业服务用房材质待定
公摊部分有哪些,包括但不限于大堂、设备用房、电梯厅、公共走道、公共管井、楼梯间、前室、电梯井道等。
 是否有凸窗,无凸窗
有无设置残疾人通道？哪些位置？,设计满足无障碍，设置无障碍电梯
每户是否配有信报箱？信报箱的位置？,有，B1M层
设备用房的位置？有什么设备？,"网络机房设置于LG层，在内布置有网络机柜、配线架、网络交换机等；
消防及安防控制室设置在一层，在内布置有消防报警主机、监控主机、监视屏等；’
变配电房设置于LG层，布置有变压器、高低压配电柜等设备；
发电机房设置于地下一层，在内布置一台柴油发电机组。"
垃圾中转站的位置？垃圾如何处理？,未设置
有无独立的后备供电设备？,有独立的后备供电设备。在地下一层设有一处发电机房，内置一台1000kW柴油发电机组
厨房是否设置专用烟道？如何排油烟？往楼顶排还是往地下排？是否防倒灌？,有烟道，屋顶排放
是否有洗衣机预留位？位置在哪？,室内预留
景观阳台与生活阳台是否有地漏？位置在哪？,阳台有设置地漏，无生活阳台
万象府的管道设计会否做隐蔽设计？,有考虑隐藏设计
物业管理公司是哪家？资质和经验如何？,"物业管理公司是深圳华润物业管理有限公司；
深圳华润物业管理有限公司具有国家一级物业管理资质；
华润物业于1982年成立于香港，主营中、高端物业租赁、管理与服务。30年来，立足香港，服务亚洲，将豪门物业管理理念植入高端住宅开发的核心环节。"
物业管理费是多少？是否要预付管理费？由谁拟定批准？,"物业管理服务方案正在进行方案评审，物业服务费价格待公司审批。
物业服务费按规定预收____个月。
依据：深圳市住宅局、深圳市物价局 （发布文号: 深价［2000］41号）
《深圳市物价局、市住宅局关于物业管理服务收费若干问题的通知》　
“八、关于物业管理服务费的收取方式问题。　
物业管理收费应按月收取，经双方协商约定可以预收，但预收期限不得超过____个月。 ”"
停车收费标准？临时停放的车辆如何收费？,待定
物业管理公司的有偿和无偿服务项目？每日服务时间？,待定
物业服务内容是什么？,待定
入伙时须交哪些费用及金额计算？,"物业管理收费应按月收取，经双方协商约定可以预收，但预收期限不得超过_____个月。
本体维修基金_____元/㎡•月；
其他：水、电、电话、有线电视、光纤网络直接由服务商收费。"
水费、电费、电话费收费标准？有无代收费服务？,待定
